City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yabrud,SY,33.9674,36.6574,51.8,58,40,18.41,scattered clouds
80,Cabo San Lucas,MX,22.8909,-109.9124,57.2,43,20,11.5,few clouds
81,Krasnovishersk,RU,60.4078,57.082,9.01,95,100,3.33,snow
82,Richards Bay,ZA,-28.783,32.0377,79.3,70,20,13.47,few clouds
83,Tilichiki,RU,60.4667,166.1,-25.4,85,0,7.47,clear sky
84,Antofagasta,CL,-23.65,-70.4,73.99,56,20,12.66,few clouds
85,Taoudenni,ML,22.6783,-3.9836,74.73,16,28,16.6,scattered clouds
86,Orzhytsya,UA,49.7918,32.7012,8.74,92,100,7.27,overcast clouds
87,Meadow Lake,US,34.8014,-106.5436,37.99,34,75,1.41,broken clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,77.0,78,75,6.91,light rain
89,Touros,BR,-5.1989,-35.4608,86.0,58,75,14.97,broken clouds
90,Shahr-E Babak,IR,30.1165,55.1186,48.87,45,0,0.94,clear sky
91,Hamilton,US,39.1834,-84.5333,33.01,93,90,9.22,mist
92,Saint-Pierre,RE,-21.3393,55.4781,82.4,83,0,14.97,clear sky
93,Vaini,TO,-21.2,-175.2,77.0,94,75,4.61,broken clouds
94,Chuy,UY,-33.6971,-53.4616,77.31,85,89,11.45,overcast clouds
95,Chokurdakh,RU,70.6333,147.9167,-12.01,88,100,14.07,overcast clouds
96,Airai,TL,-8.9266,125.4092,63.57,100,100,0.63,overcast clouds
97,Avarua,CK,-21.2078,-159.775,73.4,94,86,4.61,overcast clouds
98,Aksarka,RU,66.5606,67.7975,-5.96,92,100,6.91,overcast clouds
99,Sumkino,RU,58.1108,68.3244,13.55,96,100,7.4,overcast clouds
100,Port Alfred,ZA,-33.5906,26.891,72.0,76,0,11.99,clear sky
101,Port Macquarie,AU,-31.4333,152.9167,59.0,86,18,1.99,few clouds
102,Codrington,AU,-38.2667,141.9667,56.01,72,98,9.98,overcast clouds
103,Severo-Kurilsk,RU,50.6789,156.125,24.46,96,100,8.34,light snow
104,Poum,NC,-20.2333,164.0167,81.5,80,100,4.14,overcast clouds
105,Neuquen,AR,-38.9516,-68.0591,68.0,40,40,9.22,scattered clouds
106,Lengshuijiang,CN,27.6881,111.4294,43.52,58,99,11.34,overcast clouds
107,Chipata,ZM,-13.6333,32.65,73.74,83,91,2.53,overcast clouds
108,Izumo,JP,35.3667,132.7667,39.2,93,75,11.5,broken clouds
109,Bamberg,DE,49.8795,10.8863,28.0,40,100,6.02,overcast clouds
110,Zakamensk,RU,50.3741,103.2863,-10.89,80,50,3.91,scattered clouds
111,Mega,ET,4.05,38.3,76.6,30,98,10.54,overcast clouds
112,Awbari,LY,26.5921,12.7805,62.47,26,0,10.63,clear sky
113,Pearland,US,29.5636,-95.286,50.0,36,40,4.61,haze
114,Kilindoni,TZ,-7.9139,39.6668,82.0,78,6,10.54,clear sky
115,Inirida,CO,3.8653,-67.9239,84.42,71,3,3.65,light rain
116,Faanui,PF,-16.4833,-151.75,81.25,73,12,10.27,few clouds
117,Hithadhoo,MV,-0.6,73.0833,82.04,75,100,11.27,overcast clouds
118,Qaanaaq,GL,77.484,-69.3632,6.58,92,99,1.05,overcast clouds
119,San Carlos,VE,9.6612,-68.5827,87.55,47,91,2.28,overcast clouds
120,Thompson,CA,55.7435,-97.8558,12.2,92,90,6.91,light snow
121,Salinopolis,BR,-0.6136,-47.3561,85.33,64,62,10.8,broken clouds
122,Nikolskoye,RU,59.7035,30.7861,7.0,85,75,6.71,light snow
123,Te Anau,NZ,-45.4167,167.7167,55.27,72,100,4.43,light rain
124,Lavrentiya,RU,65.5833,-171.0,-5.24,86,100,7.36,overcast clouds
125,Corn Island,NI,12.1694,-83.0418,79.74,77,100,11.95,overcast clouds
126,Margate,GB,51.3813,1.3862,43.0,91,100,1.99,overcast clouds
127,Aklavik,CA,68.2191,-135.0107,-13.0,84,75,3.89,broken clouds
128,Bethel,US,41.3712,-73.414,39.99,100,90,3.44,mist
129,Barbalha,BR,-7.3111,-39.3042,89.6,37,20,6.91,few clouds
130,Tura,IN,25.5198,90.2201,57.56,53,18,3.11,few clouds
131,Kulaman,PH,6.4594,124.0892,76.59,88,100,1.28,moderate rain
132,Qena,EG,26.1615,32.7183,69.8,32,0,9.22,clear sky
133,Pedernales,DO,18.0384,-71.744,81.19,46,92,3.04,overcast clouds
134,Pevek,RU,69.7008,170.3133,-17.77,84,49,5.14,scattered clouds
135,Ilulissat,GL,69.2167,-51.1,12.2,52,20,8.05,few clouds
136,Bonavista,CA,48.6499,-53.1147,33.01,86,100,11.5,overcast clouds
137,Zhanaozen,KZ,43.3,52.8,36.28,81,29,8.21,scattered clouds
138,Castro,BR,-24.7911,-50.0119,76.35,69,98,9.15,overcast clouds
139,Jamestown,US,42.097,-79.2353,30.0,100,90,3.76,overcast clouds
140,Tiksi,RU,71.6872,128.8694,-8.79,91,100,13.71,overcast clouds
141,Cumra,TR,37.5732,32.7745,37.4,93,75,3.44,mist
142,Kajaani,FI,64.2273,27.7285,15.8,100,90,4.61,fog
143,Klaksvik,FO,62.2266,-6.589,44.6,100,90,4.61,overcast clouds
144,Samarai,PG,-10.6167,150.6667,83.55,79,100,13.53,overcast clouds
145,Manakara,MG,-22.1333,48.0167,82.53,79,60,13.62,broken clouds
146,Champerico,GT,14.3,-91.9167,80.6,74,0,2.66,clear sky
147,Kiunga,PG,-6.1219,141.2906,74.66,98,100,3.02,overcast clouds
148,Upernavik,GL,72.7868,-56.1549,11.98,92,18,4.56,few clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,71.6,88,75,14.97,broken clouds
150,Yerbogachen,RU,61.2767,108.0108,-47.15,76,56,3.11,broken clouds
151,Mount Isa,AU,-20.7333,139.5,86.0,13,0,19.57,clear sky
152,Ulagan,RU,50.6321,87.9563,11.97,79,86,3.31,overcast clouds
153,Victoria,HK,22.2855,114.1577,62.01,77,99,1.01,overcast clouds
154,Elko,US,41.0002,-115.5012,30.99,86,1,6.91,clear sky
155,Ponta Do Sol,PT,32.6667,-17.1,62.01,63,97,4.0,overcast clouds
156,Svetlogorsk,BY,52.6333,29.7333,-0.26,92,91,3.76,overcast clouds
157,Haines Junction,CA,60.7522,-137.5108,14.0,92,65,2.3,broken clouds
158,Sitka,US,57.0531,-135.33,44.6,65,90,18.41,light rain
159,Zhigansk,RU,66.7697,123.3711,-33.32,82,100,5.93,overcast clouds
160,San Jeronimo,PE,-11.9472,-75.2829,57.36,59,100,4.29,light rain
161,Pemangkat,ID,1.1667,108.9667,78.91,85,100,11.21,moderate rain
162,Hanzhong,CN,33.0728,107.0303,36.21,67,90,2.15,overcast clouds
163,Aksarayskiy,RU,46.7924,48.0119,28.4,86,0,8.95,clear sky
164,Carnarvon,AU,-24.8667,113.6333,78.8,100,17,1.14,few clouds
165,Hutchinson,US,38.0608,-97.9298,28.0,63,90,9.22,overcast clouds
166,Whangarei,NZ,-35.7317,174.3239,57.99,94,2,3.0,clear sky
167,Husavik,IS,66.0449,-17.3389,35.6,93,90,4.61,overcast clouds
168,Coihaique,CL,-45.5752,-72.0662,64.4,59,40,3.44,scattered clouds
169,Asfi,MA,32.2994,-9.2372,63.75,54,0,12.39,clear sky
170,Liloan,PH,10.3991,123.9992,77.0,94,90,9.22,light rain
171,Nouadhibou,MR,20.931,-17.0347,75.2,22,100,17.27,overcast clouds
172,Bengkulu,ID,-3.8004,102.2655,78.76,77,100,1.61,overcast clouds
173,Danielskuil,ZA,-28.1887,23.5395,79.43,24,0,17.16,clear sky
174,Menomonie,US,44.8755,-91.9193,32.0,93,90,9.22,overcast clouds
175,Guerrero Negro,MX,27.9769,-114.0611,57.58,37,0,2.01,clear sky
176,Zlatoust,RU,55.1711,59.6508,17.46,96,66,7.02,broken clouds
177,Kodiak,US,57.79,-152.4072,39.2,93,90,34.52,moderate rain
178,Sur,OM,22.5667,59.5289,70.11,65,0,9.64,clear sky
179,Kenai,US,60.5544,-151.2583,32.0,80,90,20.71,overcast clouds
180,Qingdao,CN,36.0986,120.3719,27.0,63,0,4.47,clear sky
181,Kununurra,AU,-15.7667,128.7333,80.6,94,40,5.37,scattered clouds
182,Cabedelo,BR,-6.9811,-34.8339,86.0,58,75,16.11,broken clouds
183,Atlantic City,US,39.3643,-74.4229,46.4,87,75,8.05,broken clouds
184,Manado,ID,1.487,124.8455,75.2,94,40,5.75,light rain
185,Clyde River,CA,70.4692,-68.5914,3.2,85,90,6.91,overcast clouds
186,Puerto Ayacucho,VE,5.6639,-67.6236,85.06,61,8,9.06,clear sky
187,Lagoa,PT,39.05,-27.9833,59.88,83,100,7.23,overcast clouds
188,Nuuk,GL,64.1835,-51.7216,23.0,68,20,8.05,few clouds
189,Freeport,US,40.6576,-73.5832,45.0,93,90,6.91,light rain
190,Arman,RU,59.7,150.1667,-15.52,78,80,8.84,broken clouds
191,Alofi,NU,-19.0595,-169.9187,73.4,100,99,1.14,overcast clouds
192,Cidreira,BR,-30.1811,-50.2056,77.7,80,100,11.43,overcast clouds
193,Prince Rupert,CA,54.3161,-130.3201,44.6,87,90,9.22,light rain
194,Lorengau,PG,-2.0226,147.2712,82.54,78,100,11.86,overcast clouds
195,Tiznit,MA,29.5833,-9.5,62.6,34,0,5.12,clear sky
196,Rolla,US,37.9514,-91.7713,32.0,86,90,14.97,overcast clouds
197,Sioux Lookout,CA,50.1001,-91.917,12.2,85,90,3.44,light snow
198,Georgetown,MY,5.4112,100.3354,80.6,88,20,7.76,few clouds
199,Bay Roberts,CA,47.5999,-53.2648,33.01,85,100,8.99,overcast clouds
200,Dubbo,AU,-32.25,148.6167,62.6,42,42,8.05,scattered clouds
