City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,162,Hanzhong,CN,36.21,overcast clouds,33.0728,107.0303,Guorui Hotel
165,165,Hutchinson,US,28.0,overcast clouds,38.0608,-97.9298,Hampton Inn Hutchinson
166,166,Whangarei,NZ,57.99,clear sky,-35.7317,174.3239,Bella Vista Motel Whangarei
167,167,Husavik,IS,35.6,overcast clouds,66.0449,-17.3389,Bjarnabúð
168,168,Coihaique,CL,64.4,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
169,169,Asfi,MA,63.75,clear sky,32.2994,-9.2372,Hôtel Abda
174,174,Menomonie,US,32.0,overcast clouds,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
175,175,Guerrero Negro,MX,57.58,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
176,176,Zlatoust,RU,17.46,broken clouds,55.1711,59.6508,Bellmont
177,177,Kodiak,US,39.2,moderate rain,57.79,-152.4072,Best Western Kodiak Inn and Convention Center
179,179,Kenai,US,32.0,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
180,180,Qingdao,CN,27.0,clear sky,36.0986,120.3719,Holiday Inn Qingdao City Centre
183,183,Atlantic City,US,46.4,broken clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
187,187,Lagoa,PT,59.88,overcast clouds,39.05,-27.9833,Casa Das Faias
188,188,Nuuk,GL,23.0,few clouds,64.1835,-51.7216,Vandrehuset
189,189,Freeport,US,45.0,light rain,40.6576,-73.5832,The Freeport Inn and Marina
193,193,Prince Rupert,CA,44.6,light rain,54.3161,-130.3201,Crest Hotel
196,196,Rolla,US,32.0,overcast clouds,37.9514,-91.7713,Holiday Inn Express & Suites Rolla - Univ of Missouri S&T
197,197,Sioux Lookout,CA,12.2,light snow,50.1001,-91.917,Knobby's Fly-In Camps
199,199,Bay Roberts,CA,33.01,overcast clouds,47.5999,-53.2648,Stonewall Inn
200,200,Dubbo,AU,62.6,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
202,202,Shimoda,JP,41.0,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
204,204,Visby,SE,26.6,overcast clouds,57.6409,18.296,Best Western Solhem Hotel Visby
205,205,Saint George,US,33.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
207,207,Constitucion,CL,66.96,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
208,208,Tabas,IR,53.6,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
211,211,Tekeli,KZ,37.0,clear sky,44.83,78.8239,Guest House Tekeli
212,212,Ballina,AU,68.0,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
215,215,Dezful,IR,62.85,clear sky,32.3811,48.4058,سالن پیرایش امید
216,216,Chapais,CA,24.8,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
221,221,Iida,JP,34.0,overcast clouds,35.5197,137.8207,ホテルオオハシ飯田
222,222,Pahrump,US,53.01,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
